"","DEPARTMENT","WORK.GROUP","CREATION.YEAR","CREATION.MONTH","Number.Of.Cases","Number.Of.Open.Cases","Number.Of.Cases.Exceeding.Timeframe","Percent.Of.Cases.Exceeding.Timeframe","UniqueID","Mean.Days.To.Close.Of.Closed.Cases","Median.Days.To.Close.Closed.Cases","Standard.Deviation","Above.One.Standard.Deviation","Above.Two.Standard.Deviations","Above.Three.Standard.Deviations","Below.One.Standard.Deviation","Below.Two.Standard.Deviations","Below.Three.Standard.Deviations","Month.Year","Date.End.Month"
"1659","Health","Health-Rat-",2009,3,66,0,1,1.51515151515152,"Health Health-Rat- 2009 3",17.0909090909091,17,7.05086415375345,24.1417732446625,31.192637398416,38.2435015521694,10.0400449371556,2.9891807834022,-4.06168337035125,"2009.3","2009/03/31"
"1660","Health","Health-Rat-",2009,4,60,0,3,5,"Health Health-Rat- 2009 4",17.8666666666667,18.5,9.22132139997202,27.0879880666387,36.3093094666107,45.5306308665827,8.64534526669465,-0.575976133277372,-9.79729753324939,"2009.4","2009/04/30"
"1661","Health","Health-Rat-",2009,5,80,0,2,2.5,"Health Health-Rat- 2009 5",24.0375,26,5.40380491829014,29.4413049182901,34.8451098365803,40.2489147548704,18.6336950817099,13.2298901634197,7.82608524512958,"2009.5","2009/05/31"
"1662","Health","Health-Rat-",2009,6,89,0,1,1.12359550561798,"Health Health-Rat- 2009 6",23.0674157303371,20,38.2479345113174,61.3153502416545,99.5632847529718,137.811219264289,-15.1805187809803,-53.4284532922977,-91.6763878036151,"2009.6","2009/06/30"
"1663","Health","Health-Rat-",2009,7,116,0,5,4.31034482758621,"Health Health-Rat- 2009 7",21.551724137931,22,6.90097009889531,28.4526942368263,35.3536643357216,42.254634434617,14.6507540390357,7.74978394014042,0.848813841245114,"2009.7","2009/07/31"
"1664","Health","Health-Rat-",2009,8,96,0,3,3.125,"Health Health-Rat- 2009 8",19.5833333333333,20,6.11067515723042,25.6940084905637,31.8046836477942,37.9153588050246,13.4726581761029,7.3619830188725,1.25130786164208,"2009.8","2009/08/31"
"1665","Health","Health-Rat-",2009,9,104,0,2,1.92307692307692,"Health Health-Rat- 2009 9",19.5961538461538,19,5.65431226582,25.2504661119739,30.9047783777939,36.5590906436139,13.9418415803338,8.28752931451384,2.63321704869384,"2009.9","2009/09/30"
"1666","Health","Health-Rat-",2009,10,116,0,0,0,"Health Health-Rat- 2009 10",10.0172413793103,9.5,4.07320567830193,14.0904470576123,18.1636527359142,22.2368584142161,5.94403570100841,1.87083002270648,-2.20237565559546,"2009.10","2009/10/31"
"1667","Health","Health-Rat-",2009,11,84,0,0,0,"Health Health-Rat- 2009 11",10.0714285714286,9,4.95713120078785,15.0285597722164,19.9856909730043,24.9428221737921,5.11429737064072,0.157166169852863,-4.79996503093499,"2009.11","2009/11/30"
"1668","Health","Health-Rat-",2009,12,43,0,0,0,"Health Health-Rat- 2009 12",10.6744186046512,9,6.27056969475569,16.9449882994069,23.2155579941625,29.4861276889182,4.40384890989547,-1.86672078486022,-8.13729047961591,"2009.12","2009/12/31"
"1669","Health","Health-Rat-",2010,1,41,0,0,0,"Health Health-Rat- 2010 1",9.5609756097561,8,4.44437161186936,14.0053472216255,18.4497188334948,22.8940904453642,5.11660399788674,0.672232386017377,-3.77213922585198,"2010.1","2010/01/31"
"1670","Health","Health-Rat-",2010,2,34,0,0,0,"Health Health-Rat- 2010 2",9.44117647058824,9,4.06158034976675,13.502756820355,17.5643371701217,21.6259175198885,5.37959612082148,1.31801577105473,-2.74356457871202,"2010.2","2010/02/28"
"1671","Health","Health-Rat-",2010,3,47,0,0,0,"Health Health-Rat- 2010 3",7.17021276595745,7,3.3252600351811,10.4954728011385,13.8207328363196,17.1459928715008,3.84495273077635,0.519692695595245,-2.80556733958586,"2010.3","2010/03/31"
"1672","Health","Health-Rat-",2010,4,64,0,1,1.5625,"Health Health-Rat- 2010 4",9.171875,8,9.38177004232059,18.5536450423206,27.9354150846412,37.3171851269618,-0.209895042320593,-9.59166508464119,-18.9734351269618,"2010.4","2010/04/30"
